Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link,
S1952925037,nba,1/10/20,$8K Fri NBA Swat (3 Entries Max),$60k,362.9,,926,9523,Tournament,1,2.5,https://www.fanduel.com/entry/DMXFHQPKG,
S1952925038,nba,1/10/20,$8K Fri NBA Swat (3 Entries Max),$60k,362.9,,926,9523,Tournament,1,2.5,https://www.fanduel.com/entry/DMJHUZDMK,
S1952925004,nba,1/10/20,$11K Fri NBA Dribbler (Single Entry),$60k,362.9,,963,13095,Tournament,1,3,https://www.fanduel.com/entry/BWCYHMTES,
S1952924967,nba,1/10/20,NBA Daily Free Play,$60k,362.9,,1607,26930,Tournament,0,0,https://www.fanduel.com/entry/FBNWIRLCO,
S1952377664,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,42,100,Tournament,1,1.8,https://www.fanduel.com/entry/EGDTISRQK,
S1952377548,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,37,100,Tournament,1,1.8,https://www.fanduel.com/entry/ELMUFLGUW,
S1952377512,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,44,100,Tournament,2,3.6,https://www.fanduel.com/entry/DJDXJSGGK,
S1952377461,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,44,100,Tournament,2,3.6,https://www.fanduel.com/entry/FEFKGUOYW,
S1952377423,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,45,100,Tournament,2,3.6,https://www.fanduel.com/entry/CKOIYVEBM,
S1952377385,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,41,100,Tournament,2,3.6,https://www.fanduel.com/entry/CRNCHOCZM,
S1952322109,nba,1/9/20,50/50 League ($5 - Top 50% Win) (Main),$60k,294.7,,34,100,Tournament,5,9,https://www.fanduel.com/entry/BKWZERWSL,
S1952322046,nba,1/9/20,50/50 League ($5 - Top 50% Win) (Main),$60k,294.7,,39,100,Tournament,5,9,https://www.fanduel.com/entry/DWNMEEGAH,
S1952321923,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,37,100,Tournament,1,1.8,https://www.fanduel.com/entry/AANOBASIX,
S1952321823,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,41,100,Tournament,1,1.8,https://www.fanduel.com/entry/BTLLEHZOX,
S1952321760,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,39,100,Tournament,1,1.8,https://www.fanduel.com/entry/BGBVUNANF,
S1952321670,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,37,100,Tournament,2,3.6,https://www.fanduel.com/entry/DLHNDJOUH,
S1952321579,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,38,100,Tournament,2,3.6,https://www.fanduel.com/entry/CPXJLMSYX,
S1952321503,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,37,100,Tournament,2,3.6,https://www.fanduel.com/entry/BKJBRWRVZ,
S1952321273,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,39,100,Tournament,2,3.6,https://www.fanduel.com/entry/DHAHFZXLN,
S1952321220,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,42,100,Tournament,2,3.6,https://www.fanduel.com/entry/ERXPWINSX,
S1952319561,nhl,1/9/20,$1_000 All Star Weekly FDP Loyalty Free Play (1 of 4),$55k,81.6,,1798,1979,Tournament,0,0,https://www.fanduel.com/entry/EBIPUFZAT,
S1952033913,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,40,100,Tournament,1,1.8,https://www.fanduel.com/entry/CAKFBGCFR,
S1952033893,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,34,100,Tournament,2,3.6,https://www.fanduel.com/entry/ECKLGTXYX,
S1952033871,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,37,100,Tournament,1,1.8,https://www.fanduel.com/entry/DPAWBZMAT,
S1952033857,nba,1/9/20,50/50 League ($1 - Top 50% Win) (Main),$60k,294.7,,33,100,Tournament,1,1.8,https://www.fanduel.com/entry/EEOBFLTQH,
S1952033846,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,34,100,Tournament,2,3.6,https://www.fanduel.com/entry/DQQONZVUH,
S1952033837,nba,1/9/20,50/50 League ($2 - Top 50% Win) (Main),$60k,294.7,,33,100,Tournament,2,3.6,https://www.fanduel.com/entry/AMHLMPGNZ,
